index,raw,opcode,message,timestamp,aliased_addr,cache_line_index_aliased,cache_line_index_unaliased,dirty,dmask,fillo,hreq_id,ns,nxm,rreq_id,src,unaliased_addr,vc,xb1,xb1_2,xb2,xb3,xb4,xb5
419,0x2804300000008100,5,ECI_CMD_MREQ_RLDX,93579806180,0x0000008100,,,,0,,,1,,1,0,0x0000008100,7,,,0,4,0,
420,0x2804300000008200,5,ECI_CMD_MREQ_RLDX,93579806182,0x0000008200,,,,0,,,1,,1,0,0x0000008200,7,,,0,4,0,
421,0x2800300000008300,5,ECI_CMD_MREQ_RLDX,93579806184,0x0000008300,,,,0,,,1,,0,0,0x0000008300,7,,,0,4,0,
422,0x2844300000008400,5,ECI_CMD_MREQ_RLDX,93579806186,0x0000008400,,,,0,,,1,,17,0,0x0000008400,7,,,0,4,0,
423,0x2840300000008600,5,ECI_CMD_MREQ_RLDX,93579806188,0x0000008600,,,,0,,,1,,16,0,0x0000008600,7,,,0,4,0,
424,0x2840300000008500,5,ECI_CMD_MREQ_RLDX,93579806190,0x0000008500,,,,0,,,1,,16,0,0x0000008500,7,,,0,4,0,
425,0x5007c00000008100,10,ECI_CMD_MRSP_PEMD,93579806347,,258,258,0,15,0,,,0,1,4,,5,0,0,,0,,0
426,0x5007c00000008200,10,ECI_CMD_MRSP_PEMD,93579806383,,260,260,0,15,0,,,0,1,4,,5,0,0,,0,,0
427,0x5003c00000008300,10,ECI_CMD_MRSP_PEMD,93579806418,,262,262,0,15,0,,,0,0,4,,5,0,0,,0,,0
428,0x5047c00000008400,10,ECI_CMD_MRSP_PEMD,93579806454,,264,264,0,15,0,,,0,17,4,,5,0,0,,0,,0
429,0x5043c00000008600,10,ECI_CMD_MRSP_PEMD,93579806489,,268,268,0,15,0,,,0,16,4,,5,0,0,,0,,0
430,0x5043c00000008500,10,ECI_CMD_MRSP_PEMD,93579806525,,266,266,0,15,0,,,0,16,4,,5,0,0,,0,,0
431,0x0007e00000008000,0,ECI_CMD_MREQ_RLDD,93579806620,0x0000008000,,,,15,,,1,,1,0,0x0000008000,7,,,0,0,0,
432,0x180be00000008100,3,ECI_CMD_MRSP_VICDHI,93579807171,0x0000008100,,,,15,,2,1,,,2,0x0000008100,5,,,,0,,0
433,0x1813e00000008200,3,ECI_CMD_MRSP_VICDHI,93579807176,0x0000008200,,,,15,,4,1,,,2,0x0000008200,5,,,,0,,0
434,0x181be00000008300,3,ECI_CMD_MRSP_VICDHI,93579807182,0x0000008300,,,,15,,6,1,,,2,0x0000008300,5,,,,0,,0
435,0x1823e00000008400,3,ECI_CMD_MRSP_VICDHI,93579807185,0x0000008400,,,,15,,8,1,,,2,0x0000008400,5,,,,0,,0
436,0x182be00000008500,3,ECI_CMD_MRSP_VICDHI,93579807189,0x0000008500,,,,15,,10,1,,,2,0x0000008500,5,,,,0,,0
437,0x1833e00000008600,3,ECI_CMD_MRSP_VICDHI,93579807194,0x0000008600,,,,15,,12,1,,,2,0x0000008600,5,,,,0,,0
438,0x4807c00000008000,9,ECI_CMD_MRSP_PSHA,93579807672,,256,256,0,15,0,,,0,1,4,,5,0,0,,0,,0
439,0x3807e00000008000,7,ECI_CMD_MREQ_RC2D_S,93579808306,0x0000008000,,,,15,,,1,,1,0,0x0000008000,7,,,0,0,0,
440,0x2800300000008100,5,ECI_CMD_MREQ_RLDX,93579808328,0x0000008100,,,,0,,,1,,0,0,0x0000008100,7,,,0,4,0,
441,0x2800300000008200,5,ECI_CMD_MREQ_RLDX,93579808330,0x0000008200,,,,0,,,1,,0,0,0x0000008200,7,,,0,4,0,
442,0x2804300000008300,5,ECI_CMD_MREQ_RLDX,93579808332,0x0000008300,,,,0,,,1,,1,0,0x0000008300,7,,,0,4,0,
443,0x2844300000008400,5,ECI_CMD_MREQ_RLDX,93579808334,0x0000008400,,,,0,,,1,,17,0,0x0000008400,7,,,0,4,0,
444,0x2844300000008600,5,ECI_CMD_MREQ_RLDX,93579808336,0x0000008600,,,,0,,,1,,17,0,0x0000008600,7,,,0,4,0,
445,0x2844300000008500,5,ECI_CMD_MREQ_RLDX,93579808338,0x0000008500,,,,0,,,1,,17,0,0x0000008500,7,,,0,4,0,
446,0x5004000000008000,10,ECI_CMD_MRSP_PEMD,93579808384,,256,256,0,0,0,,,0,1,3,,11,0,0,,0,,0
447,0x5003c00000008100,10,ECI_CMD_MRSP_PEMD,93579808513,,258,258,0,15,0,,,0,0,4,,5,0,0,,0,,0
448,0x5003c00000008200,10,ECI_CMD_MRSP_PEMD,93579808548,,260,260,0,15,0,,,0,0,4,,5,0,0,,0,,0
449,0x5007c00000008300,10,ECI_CMD_MRSP_PEMD,93579808584,,262,262,0,15,0,,,0,1,4,,5,0,0,,0,,0
450,0x5047c00000008400,10,ECI_CMD_MRSP_PEMD,93579808619,,264,264,0,15,0,,,0,17,4,,5,0,0,,0,,0
451,0x5047c00000008600,10,ECI_CMD_MRSP_PEMD,93579808655,,268,268,0,15,0,,,0,17,4,,5,0,0,,0,,0
452,0x5047c00000008500,10,ECI_CMD_MRSP_PEMD,93579808690,,266,266,0,15,0,,,0,17,4,,5,0,0,,0,,0
453,0x1803e00000008000,3,ECI_CMD_MRSP_VICDHI,93579808994,0x0000008000,,,,15,,0,1,,,2,0x0000008000,5,,,,0,,0
454,0x180be00000008100,3,ECI_CMD_MRSP_VICDHI,93579809312,0x0000008100,,,,15,,2,1,,,2,0x0000008100,5,,,,0,,0
